date,new_downloads,total_downloads,new_reported,total_reported,source
2020-12-21,117700,117700,23,23,fhi:web
2020-12-22,41000,158700,18,41,fhi:web
2020-12-23,15600,174300,12,53,fhi:web
2020-12-24,9500,183800,19,72,fhi:web
2020-12-25,10900,194700,10,82,fhi:web
2020-12-26,12500,207200,8,90,fhi:web
2020-12-27,10200,217400,14,104,fhi:web
2020-12-28,13800,231200,21,125,fhi:web
2020-12-29,10500,241700,22,147,fhi:web
2020-12-30,7300,249000,26,173,fhi:web
2020-12-31,6800,255800,13,186,fhi:web
2021-01-01,3200,259000,17,203,fhi:web
2021-01-02,3900,262900,11,214,fhi:web
2021-01-03,82100,345000,36,250,fhi:web
2021-01-04,21300,366300,17,267,fhi:web
2021-01-05,8300,374600,25,292,fhi:web
2021-01-06,27400,402000,35,327,fhi:web
2021-01-07,6000,408000,31,358,fhi:web
2021-01-08,4600,412600,21,379,fhi:web
2021-01-09,3300,415900,15,394,fhi:web
2021-01-10,3700,419600,19,413,fhi:web
2021-01-11,3400,423000,8,421,fhi:web
2021-01-12,2200,425200,18,439,fhi:web
2021-01-13,10100,435300,29,468,fhi:web
2021-01-14,2700,438000,17,485,fhi:web
2021-01-15,1800,439800,15,500,fhi:web
2021-01-16,1300,441100,8,508,fhi:web
2021-01-17,19700,460800,10,518,fhi:web
2021-01-18,4400,465200,5,523,fhi:web
2021-01-19,3000,468200,7,530,fhi:web
2021-01-20,3600,471800,10,540,fhi:web
2021-01-21,2500,474300,16,556,fhi:web
2021-01-22,3200,477500,11,567,fhi:web
2021-01-23,10600,488100,8,575,fhi:web
2021-01-24,55300,543400,27,602,fhi:web
2021-01-25,18600,562000,13,615,fhi:web
2021-01-26,96300,658300,40,655,fhi:web
2021-01-27,17400,675700,19,674,fhi:web
2021-01-28,6700,682400,20,694,fhi:web
2021-01-29,4200,686600,8,702,fhi:web
2021-01-30,3800,690400,19,721,fhi:web
2021-01-31,2000,691400,7,728,fhi:web
2021-02-01,700,692100,13,741,fhi:web
2021-02-02,2500,694600,14,744,fhi:web
2021-02-03,58100,752700,30,785,fhi:web
2021-02-04,54600,807300,33,818,fhi:web
2021-02-05,26200,833500,28,846,fhi:web
2021-02-06,3000,836500,14,860,fhi:web
2021-02-07,9600,846100,2,862,fhi:web
2021-02-08,4800,850900,22,884,fhi:web
2021-02-09,2100,853000,10,894,fhi:web
2021-02-10,1700,854700,10,904,fhi:web
2021-02-11,1600,856300,15,919,fhi:web
2021-02-12,1500,857800,14,933,fhi:web
2021-02-13,400,858200,19,952,fhi:web
2021-02-14,1400,859600,12,964,fhi:web
2021-02-15,1500,861100,16,980,fhi:web
2021-02-16,1300,862400,20,1000,fhi:web
2021-02-17,1900,864300,10,1010,fhi:web
2021-02-18,400,864700,21,1031,fhi:web
2021-02-19,1500,866200,19,1050,fhi:web
2021-02-20,1400,867600,16,1066,fhi:web
2021-02-21,200,867800,1,1067,fhi:web
2021-02-22,1400,869200,7,1074,fhi:web
2021-02-23,1500,870700,26,1100,fhi:web
2021-02-24,400,871100,13,1113,fhi:web
2021-02-25,1500,872600,29,1142,fhi:web
2021-02-26,700,873300,25,1167,fhi:web
2021-02-27,500,873800,18,1185,fhi:web
2021-02-28,4500,878300,16,1201,fhi:web
2021-03-01,600,878900,29,1230,fhi:web
2021-03-02,4000,882900,34,1264,fhi:web
2021-03-03,1700,884600,32,1296,fhi:web
2021-03-04,1600,886200,18,1314,fhi:web
2021-03-05,1400,887600,28,1342,fhi:web
2021-03-06,1400,889000,17,1359,fhi:web
2021-03-07,1400,890400,19,1378,fhi:web
2021-03-08,3100,893500,30,1408,fhi:web
2021-03-09,5700,899200,42,1450,fhi:web
2021-03-10,3000,902200,37,1487,fhi:web
2021-03-11,1900,904100,50,1537,fhi:web
2021-03-12,19600,923700,48,1585,fhi:web
2021-03-13,900,924600,33,1618,fhi:web
2021-03-14,4900,929500,31,1649,fhi:web
2021-03-15,3000,932500,49,1698,fhi:web
2021-03-16,1000,933500,58,1756,fhi:web
2021-03-17,30100,963600,52,1808,fhi:web
2021-03-18,2800,966400,66,1874,fhi:web
2021-03-19,1500,967900,52,1926,fhi:web
2021-03-20,1400,969300,56,1982,fhi:web
2021-03-21,1500,970800,39,2021,fhi:web
2021-03-22,1600,972400,40,2061,fhi:web
2021-03-23,1500,973900,47,2108,fhi:web
2021-03-24,1700,975600,47,2155,fhi:web
2021-03-25,1000,976600,39,2194,fhi:web
2021-03-26,2400,979000,43,2237,fhi:web
2021-03-27,1400,980400,29,2266,fhi:web
2021-03-28,300,980700,41,2307,fhi:web
2021-03-29,1300,982000,21,2328,fhi:web
2021-03-30,200,982200,35,2363,fhi:web
2021-03-31,1400,983600,39,2402,fhi:web
2021-04-01,200,983800,18,2420,fhi:web
2021-04-02,100,983900,33,2453,fhi:web
2021-04-03,1200,985100,33,2486,fhi:web
2021-04-04,200,985300,23,2509,fhi:web
2021-04-05,1200,986500,36,2545,fhi:web
2021-04-06,200,986700,31,2576,fhi:web
2021-04-07,1100,987800,26,2602,fhi:web
2021-04-08,0,987800,31,2633,fhi:web
2021-04-09,500,988300,35,2668,fhi:web
2021-04-10,1200,989500,20,2688,fhi:web
2021-04-11,100,989600,16,2704,fhi:web
2021-04-12,200,989800,19,2723,fhi:web
2021-04-13,5400,995200,27,2750,fhi:web
2021-04-14,400,995600,27,2777,fhi:web
2021-04-15,130,996900,20,2797,fhi:web
2021-04-16,300,997200,26,2823,fhi:web
2021-04-17,1100,998300,16,2839,fhi:web
2021-04-18,100,998400,19,2858,fhi:web
2021-04-19,200,998600,12,2870,fhi:web
2021-04-20,200,998800,22,2892,fhi:web
2021-04-21,200,999000,17,2909,fhi:web
2021-04-22,1400,1000400,20,2929,fhi:web
2021-04-23,300,1000700,9,2938,fhi:web
2021-04-24,100,1000800,13,2951,fhi:web
2021-04-25,1200,1002000,9,2960,fhi:web
